iter	Passed	Remaining
0	57	57214
1	57	28717
2	57	19207
3	58	14452
4	58	11596
5	58	9691
6	58	8339
7	59	7318
8	59	6523
9	59	5889
10	59	5368
11	59	4935
12	60	4567
13	60	4252
14	60	3979
15	60	3740
16	61	3529
17	61	3341
18	61	3173
19	61	3022
20	61	2885
21	62	2761
22	62	2647
23	62	2543
24	62	2447
25	62	2358
26	63	2276
27	63	2200
28	63	2129
29	63	2063
30	64	2001
31	64	1943
32	64	1888
33	64	1837
34	64	1789
35	65	1744
36	65	1703
37	65	1662
38	65	1623
39	66	1586
40	66	1550
41	66	1516
42	66	1484
43	66	1453
44	67	1424
45	67	1395
46	67	1369
47	67	1342
48	67	1318
49	68	1294
50	68	1271
51	68	1249
52	68	1228
53	68	1208
54	69	1188
55	69	1169
56	69	1151
57	69	1133
58	70	1116
59	70	1100
60	70	1084
61	70	1068
62	70	1053
63	71	1039
64	71	1025
65	71	1011
66	71	998
67	71	985
68	72	972
69	72	960
70	72	948
71	72	937
72	72	926
73	73	915
74	73	905
75	73	894
76	73	884
77	73	874
78	74	864
79	74	855
80	74	846
81	74	837
82	74	827
83	75	818
84	75	810
85	75	802
86	75	794
87	75	786
88	76	778
89	76	771
90	76	763
91	76	756
92	76	749
93	77	742
94	77	735
95	77	729
96	77	722
97	77	716
98	78	710
99	78	704
100	78	698
101	78	692
102	78	686
103	79	680
104	79	675
105	79	669
106	79	664
107	79	659
108	80	654
109	80	649
110	80	644
111	80	639
112	80	634
113	81	629
114	81	625
115	81	620
116	81	615
117	81	610
118	81	606
119	82	602
120	82	598
121	82	593
122	82	589
123	82	585
124	83	581
125	83	577
126	83	573
127	83	569
128	83	566
129	84	562
130	84	558
131	84	555
132	84	551
133	84	548
134	85	544
135	85	541
136	85	538
137	85	534
138	85	531
139	86	528
140	86	525
141	86	521
142	86	518
143	86	515
144	86	512
145	87	509
146	87	506
147	87	503
148	87	501
149	87	498
150	88	495
151	88	492
152	88	489
153	88	487
154	88	484
155	89	482
156	89	480
157	89	478
158	89	475
159	90	473
160	90	470
161	90	467
162	90	465
163	90	462
164	90	460
165	91	457
166	91	455
167	91	453
168	91	451
169	91	448
170	92	446
171	92	444
172	92	442
173	92	440
174	92	438
175	93	436
176	93	434
177	93	432
178	93	430
179	93	428
180	94	426
181	94	424
182	94	422
183	94	420
184	94	418
185	95	416
186	95	414
187	95	412
188	95	410
189	95	409
190	96	407
191	96	405
192	96	403
193	96	401
194	96	400
195	97	398
196	97	396
197	97	395
198	97	393
199	97	391
200	98	390
201	98	388
202	98	387
203	98	385
204	98	383
205	99	382
206	99	380
207	99	379
208	99	377
209	99	376
210	100	374
211	100	373
212	100	371
213	100	370
214	100	368
215	101	367
216	101	365
217	101	364
218	101	363
219	101	361
220	102	360
221	102	358
222	102	357
223	102	356
224	102	354
225	103	353
226	103	351
227	103	350
228	103	349
229	103	347
230	104	346
231	104	345
232	104	344
233	104	343
234	104	341
235	105	340
236	105	339
237	105	338
238	105	336
239	105	335
240	106	334
241	106	333
242	106	331
243	106	330
244	106	329
245	107	328
246	107	327
247	107	326
248	107	325
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	317
256	109	316
257	109	315
258	109	314
259	109	313
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	308
266	111	307
267	112	306
268	112	305
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	113	298
276	114	297
277	114	296
278	114	295
279	114	294
280	114	293
281	115	292
282	115	291
283	115	290
284	115	290
285	115	289
286	115	288
287	116	287
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	280
296	117	279
297	118	278
298	118	277
299	118	276
300	118	275
301	118	274
302	119	274
303	119	273
304	119	272
305	119	271
306	119	270
307	120	270
308	120	269
309	120	268
310	120	267
311	120	266
312	121	265
313	121	265
314	121	264
315	121	263
316	121	262
317	122	261
318	122	261
319	122	260
320	122	259
321	122	258
322	123	257
323	123	257
324	123	256
325	123	255
326	123	254
327	124	254
328	124	253
329	124	252
330	124	251
331	124	251
332	124	250
333	125	249
334	125	248
335	125	248
336	125	247
337	126	246
338	126	246
339	126	245
340	126	244
341	126	243
342	126	243
343	127	242
344	127	241
345	127	241
346	127	240
347	128	239
348	128	239
349	128	238
350	128	237
351	128	237
352	129	236
353	129	235
354	129	235
355	129	234
356	129	233
357	129	233
358	130	232
359	130	231
360	130	231
361	130	230
362	130	229
363	131	229
364	131	228
365	131	227
366	131	227
367	131	226
368	132	225
369	132	225
370	132	224
371	132	224
372	132	223
373	133	222
374	133	222
375	133	221
376	133	220
377	133	220
378	134	219
379	134	219
380	134	218
381	134	217
382	134	217
383	135	216
384	135	216
385	135	215
386	135	214
387	135	214
388	136	213
389	136	213
390	136	212
391	136	211
392	136	211
393	137	210
394	137	210
395	137	209
396	137	209
397	137	208
398	138	208
399	138	207
400	138	206
401	138	206
402	138	205
403	139	205
404	139	204
405	139	203
406	139	203
407	139	202
408	140	202
409	140	201
410	140	201
411	140	200
412	140	200
413	140	199
414	141	199
415	141	198
416	141	197
417	141	197
418	141	196
419	142	196
420	142	195
421	142	195
422	142	194
423	142	194
424	143	193
425	143	193
426	143	192
427	143	191
428	143	191
429	144	190
430	144	190
431	144	189
432	144	189
433	144	188
434	144	188
435	145	187
436	145	187
437	145	186
438	145	186
439	145	185
440	146	185
441	146	184
442	146	184
443	146	183
444	146	183
445	147	182
446	147	182
447	147	181
448	147	181
449	148	180
450	148	180
451	148	179
452	148	179
453	148	178
454	148	178
455	149	177
456	149	177
457	149	177
458	149	176
459	149	176
460	150	175
461	150	175
462	150	174
463	150	174
464	151	173
465	151	173
466	151	172
467	151	172
468	151	171
469	152	171
470	152	170
471	152	170
472	152	170
473	152	169
474	153	169
475	153	168
476	153	168
477	153	167
478	153	167
479	154	166
480	154	166
481	154	165
482	154	165
483	154	165
484	155	164
485	155	164
486	155	163
487	155	163
488	155	162
489	156	162
490	156	161
491	156	161
492	156	161
493	156	160
494	156	160
495	157	159
496	157	159
497	157	158
498	157	158
499	157	157
500	158	157
501	158	157
502	158	156
503	158	156
504	158	155
505	159	155
506	159	154
507	159	154
508	159	154
509	159	153
510	160	153
511	160	152
512	160	152
513	160	151
514	160	151
515	161	151
516	161	150
517	161	150
518	161	149
519	161	149
520	162	148
521	162	148
522	162	148
523	162	147
524	162	147
525	163	146
526	163	146
527	163	146
528	163	145
529	163	145
530	164	144
531	164	144
532	164	144
533	164	143
534	164	143
535	164	142
536	165	142
537	165	141
538	165	141
539	165	141
540	165	140
541	166	140
542	166	139
543	166	139
544	166	139
545	166	138
546	167	138
547	167	137
548	167	137
549	167	137
550	167	136
551	168	136
552	168	136
553	168	135
554	168	135
555	168	134
556	169	134
557	169	134
558	169	133
559	169	133
560	169	132
561	169	132
562	170	132
563	170	131
564	170	131
565	170	130
566	170	130
567	171	130
568	171	129
569	171	129
570	171	129
571	171	128
572	172	128
573	172	127
574	172	127
575	172	127
576	172	126
577	173	126
578	173	126
579	173	125
580	173	125
581	173	124
582	174	124
583	174	124
584	174	123
585	174	123
586	174	123
587	175	122
588	175	122
589	175	121
590	175	121
591	175	121
592	176	120
593	176	120
594	176	120
595	176	119
596	176	119
597	177	119
598	177	118
599	177	118
600	177	117
601	177	117
602	177	117
603	178	116
604	178	116
605	178	116
606	178	115
607	178	115
608	179	115
609	179	114
610	179	114
611	179	113
612	179	113
613	180	113
614	180	112
615	180	112
616	180	112
617	181	111
618	181	111
619	181	111
620	181	110
621	181	110
622	181	110
623	182	109
624	182	109
625	182	109
626	182	108
627	182	108
628	183	108
629	183	107
630	183	107
631	183	107
632	184	106
633	184	106
634	184	106
635	184	105
636	184	105
637	185	105
638	185	104
639	185	104
640	185	103
641	185	103
642	186	103
643	186	102
644	186	102
645	186	102
646	186	101
647	187	101
648	187	101
649	187	100
650	187	100
651	187	100
652	187	99
653	188	99
654	188	99
655	188	98
656	188	98
657	188	98
658	189	97
659	189	97
660	189	97
661	189	96
662	189	96
663	190	96
664	190	95
665	190	95
666	190	95
667	191	94
668	192	95
669	192	94
670	192	94
671	192	94
672	192	93
673	193	93
674	193	93
675	193	92
676	193	92
677	193	92
678	194	91
679	194	91
680	194	91
681	194	90
682	194	90
683	195	90
684	195	89
685	195	89
686	195	89
687	195	88
688	196	88
689	196	88
690	196	87
691	196	87
692	196	87
693	196	86
694	197	86
695	197	86
696	197	85
697	197	85
698	197	85
699	198	84
700	198	84
701	198	84
702	198	83
703	198	83
704	199	83
705	199	83
706	199	82
707	199	82
708	200	82
709	200	81
710	200	81
711	200	81
712	200	80
713	201	80
714	201	80
715	201	79
716	201	79
717	201	79
718	202	78
719	202	78
720	202	78
721	202	78
722	203	77
723	203	77
724	203	77
725	203	76
726	203	76
727	204	76
728	204	75
729	204	75
730	204	75
731	204	75
732	205	74
733	205	74
734	205	74
735	205	73
736	206	73
737	206	73
738	206	72
739	206	72
740	206	72
741	207	72
742	207	71
743	207	71
744	207	71
745	207	70
746	208	70
747	208	70
748	208	69
749	208	69
750	208	69
751	209	68
752	209	68
753	209	68
754	209	68
755	209	67
756	210	67
757	210	67
758	210	66
759	210	66
760	210	66
761	211	65
762	211	65
763	211	65
764	211	65
765	211	64
766	212	64
767	212	64
768	212	63
769	212	63
770	212	63
771	213	62
772	213	62
773	213	62
774	213	62
775	213	61
776	214	61
777	214	61
778	214	60
779	214	60
780	214	60
781	215	59
782	215	59
783	215	59
784	215	59
785	215	58
786	216	58
787	216	58
788	216	57
789	216	57
790	216	57
791	217	56
792	217	56
793	217	56
794	217	56
795	217	55
796	218	55
797	218	55
798	218	54
799	218	54
800	218	54
801	219	54
802	219	53
803	219	53
804	219	53
805	219	52
806	220	52
807	220	52
808	220	52
809	220	51
810	220	51
811	221	51
812	221	50
813	221	50
814	221	50
815	221	50
816	222	49
817	222	49
818	222	49
819	222	48
820	222	48
821	223	48
822	223	48
823	223	47
824	223	47
825	223	47
826	223	46
827	224	46
828	224	46
829	224	46
830	224	45
831	224	45
832	225	45
833	225	44
834	225	44
835	225	44
836	225	44
837	226	43
838	226	43
839	226	43
840	226	42
841	226	42
842	227	42
843	227	42
844	227	41
845	227	41
846	227	41
847	228	40
848	228	40
849	228	40
850	228	40
851	228	39
852	229	39
853	229	39
854	229	38
855	229	38
856	230	38
857	230	38
858	230	37
859	230	37
860	231	37
861	231	37
862	231	36
863	231	36
864	231	36
865	232	35
866	232	35
867	232	35
868	232	35
869	232	34
870	233	34
871	233	34
872	233	33
873	233	33
874	233	33
875	234	33
876	234	32
877	234	32
878	234	32
879	234	32
880	234	31
881	235	31
882	235	31
883	235	30
884	235	30
885	235	30
886	236	30
887	236	29
888	236	29
889	236	29
890	236	28
891	237	28
892	237	28
893	237	28
894	237	27
895	237	27
896	238	27
897	238	27
898	238	26
899	238	26
900	238	26
901	239	25
902	239	25
903	239	25
904	239	25
905	239	24
906	240	24
907	240	24
908	240	24
909	240	23
910	240	23
911	241	23
912	241	22
913	241	22
914	241	22
915	241	22
916	242	21
917	242	21
918	242	21
919	242	21
920	242	20
921	242	20
922	243	20
923	243	20
924	243	19
925	243	19
926	243	19
927	244	18
928	244	18
929	244	18
930	244	18
